epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,7522.94,0.86697,0.41653,0.01083,0.96326,0.96392,0.99124,0.84313,0.60136,0.189,0.01041,0.000528272,0.000528272,0.000528272
71,7629.36,0.86786,0.39464,0.01083,0.97504,0.96976,0.99188,0.84471,0.59085,0.19011,0.01027,0.000511769,0.000511769,0.000511769
72,7738.15,0.85554,0.39781,0.01063,0.97261,0.97306,0.99247,0.83975,0.60361,0.19091,0.01048,0.000495266,0.000495266,0.000495266
73,7845.68,0.84698,0.38877,0.01028,0.97123,0.97377,0.99235,0.84372,0.60127,0.1886,0.01047,0.000478762,0.000478762,0.000478762
74,7953.07,0.83978,0.37525,0.01041,0.98113,0.97303,0.99288,0.82747,0.63729,0.19471,0.01107,0.000462259,0.000462259,0.000462259
75,8061.23,0.85895,0.38634,0.01044,0.96589,0.97479,0.99178,0.85056,0.57537,0.18283,0.01002,0.000445756,0.000445756,0.000445756
76,8168.88,0.83429,0.38847,0.01031,0.97835,0.97508,0.9929,0.8513,0.56499,0.17604,0.00977,0.000429253,0.000429253,0.000429253
77,8276.04,0.82637,0.39075,0.01005,0.98037,0.97808,0.99304,0.84391,0.58538,0.18237,0.01009,0.000412749,0.000412749,0.000412749
78,8383.22,0.84236,0.39175,0.01045,0.9753,0.97281,0.99244,0.85178,0.56835,0.17887,0.00975,0.000396246,0.000396246,0.000396246
79,8490.79,0.81759,0.38337,0.01003,0.97657,0.97081,0.99284,0.85812,0.55413,0.17567,0.00953,0.000379743,0.000379743,0.000379743
80,8597.56,0.81033,0.38159,0.01009,0.96954,0.97217,0.99174,0.85408,0.56478,0.17804,0.00968,0.000363239,0.000363239,0.000363239
81,8703.81,0.80928,0.37869,0.01004,0.98061,0.98057,0.99307,0.85619,0.56129,0.17505,0.0096,0.000346736,0.000346736,0.000346736
82,8815.86,0.81076,0.37545,0.00991,0.9743,0.97613,0.99229,0.85704,0.5483,0.17364,0.00947,0.000330233,0.000330233,0.000330233
83,8923.94,0.80724,0.3698,0.00981,0.97329,0.97205,0.99225,0.86005,0.54236,0.17665,0.00931,0.000313729,0.000313729,0.000313729
84,9031.01,0.80116,0.37703,0.01006,0.98115,0.98199,0.99301,0.86001,0.53604,0.17646,0.00922,0.000297226,0.000297226,0.000297226
85,9140.23,0.78661,0.37817,0.00971,0.97536,0.97508,0.99239,0.85843,0.54274,0.17832,0.00941,0.000280723,0.000280723,0.000280723
86,9248.8,0.78961,0.37406,0.00966,0.96915,0.97165,0.99213,0.86379,0.53397,0.17385,0.00918,0.00026422,0.00026422,0.00026422
87,9358.68,0.77309,0.35579,0.00949,0.96637,0.97395,0.99195,0.86287,0.52998,0.17092,0.00915,0.000247716,0.000247716,0.000247716
88,9470.02,0.76879,0.36409,0.00931,0.97088,0.9702,0.9919,0.86632,0.52516,0.17118,0.00903,0.000231213,0.000231213,0.000231213
89,9579.12,0.77972,0.36488,0.00936,0.97158,0.97477,0.99236,0.86811,0.51929,0.16625,0.00894,0.00021471,0.00021471,0.00021471
90,9689.13,0.76356,0.35681,0.0092,0.97611,0.96975,0.99219,0.86806,0.52405,0.16576,0.00905,0.000198206,0.000198206,0.000198206
91,9798.57,0.7175,0.24606,0.01268,0.96937,0.97026,0.99203,0.86748,0.52458,0.16893,0.00903,0.000181703,0.000181703,0.000181703
92,9907.03,0.70796,0.23211,0.01227,0.96784,0.97891,0.99247,0.86698,0.52407,0.16905,0.00898,0.0001652,0.0001652,0.0001652
93,10026.2,0.71107,0.24142,0.01252,0.96931,0.97376,0.99221,0.86722,0.5211,0.16795,0.0089,0.000148696,0.000148696,0.000148696
94,10147.3,0.68664,0.23065,0.01172,0.97863,0.97112,0.99239,0.87012,0.51447,0.16489,0.00877,0.000132193,0.000132193,0.000132193
95,10262.4,0.6666,0.22393,0.01167,0.97613,0.97371,0.99248,0.8697,0.51615,0.16454,0.00881,0.00011569,0.00011569,0.00011569
96,10380,0.68031,0.2252,0.0118,0.98097,0.97381,0.99274,0.87183,0.50779,0.16174,0.00866,9.91865e-05,9.91865e-05,9.91865e-05
97,10499.2,0.6787,0.23098,0.01185,0.97897,0.9741,0.99281,0.86983,0.50927,0.16311,0.00865,8.26832e-05,8.26832e-05,8.26832e-05
98,10618.2,0.66815,0.22854,0.01181,0.97323,0.9766,0.99243,0.87473,0.50077,0.16207,0.00855,6.61799e-05,6.61799e-05,6.61799e-05
99,10733.3,0.65558,0.21958,0.01153,0.97887,0.97324,0.99268,0.87317,0.50439,0.1616,0.00859,4.96766e-05,4.96766e-05,4.96766e-05
100,10851.6,0.66624,0.22158,0.01164,0.97713,0.97267,0.99267,0.87516,0.4989,0.15993,0.0085,3.31733e-05,3.31733e-05,3.31733e-05
